feature,importance
cnn_prob,0.2049309406335221
theta_power,0.0739974836747614
breath_regularity,0.06013052007979867
delta_beta_ratio,0.059046792580823126
mean_amplitude,0.049376764719243474
ie_ratio,0.04209007834014009
delta_power,0.03923849767474488
breathing_rate,0.03892453559408891
rel_beta,0.03806700549202048
mean_peak_dist,0.037043565195057804
mean_hr,0.03506947301772283
apnea_index,0.03329319345541461
mean_rr,0.032824980976489955
alpha_power,0.03129693592166915
beta_power,0.031118867261051515
rel_alpha,0.030836177967091045
rel_delta,0.03065287779077605
rel_theta,0.026794713208109524
sdnn,0.025361130543754492
pnn50,0.02452034801223706
rmssd,0.021226428930020573
lf_hf_ratio,0.018013033142400974
std_amplitude,0.016145655789061367
